Sample_ID	Ecosystem	Latitude	Longitude	Host
B12	Marine	20.81063	-156.7168	Distromium sp.
B13	Marine	20.81063	-156.7168	Distromium sp.
B15	Marine	20.81063	-156.7168	Distromium sp.
B16	Marine	20.81063	-156.7168	Distromium sp.
B17	Marine	20.81063	-156.7168	Distromium sp.
B2	Marine	20.81063	-156.7168	Distromium sp.
B22	Marine	20.81063	-156.7168	Distromium sp.
B3	Marine	20.81063	-156.7168	Distromium sp.
B6	Marine	20.81063	-156.7168	Distromium sp.
CV13	Terrestrial	21.51226697	-158.14924	Kadoa
CV14	Terrestrial	21.511566	-158.149199	Kadoa
CV15	Terrestrial	21.51127699	-158.149318	Kadoa
CV5	Terrestrial	21.51174604	-158.149249	Melicope
CV6	Terrestrial	21.51196598	-158.149218	Cheirodendron
CV7	Terrestrial	21.51208098	-158.149228	Ilex
CV8	Terrestrial	21.51238499	-158.149265	Metrosideros
EKH14	Terrestrial	21.43866003	-158.095917	Cyrtandra
EKH16	Terrestrial	21.43876498	-158.096722	Coprosma
EKH2	Terrestrial	21.43890504	-158.094719	Alyxia
EKH20	Terrestrial	21.43842299	-158.096179	Alyxia
EKH21	Terrestrial	21.43842299	-158.096179	Hedyotis
EKH22	Terrestrial	21.43842299	-158.096179	Kadua
EKH29	Terrestrial	21.43908902	-158.093554	Claoxylon
EKH5	Terrestrial	21.43890504	-158.094719	Acacia
EKH7	Terrestrial	21.43890504	-158.094719	Diospyros
H1	Marine	20.81063	-156.7168	Halimeda distorta
H14	Marine	20.81063	-156.7168	Halimeda distorta
H17	Marine	20.81063	-156.7168	Halimeda distorta
H4	Marine	20.81063	-156.7168	Halimeda distorta
H5	Marine	20.81063	-156.7168	Halimeda distorta
H9	Marine	20.81063	-156.7168	Halimeda distorta
KB1	Terrestrial	21.506993	-158.143581	Pittosporum
KB10	Terrestrial	21.50708302	-158.143936	Pittosporum
KB11	Terrestrial	21.50699199	-158.144014	Pittosporum
KB12	Terrestrial	21.50401298	-158.147229	Pittosporum
KB13	Terrestrial	21.50391298	-158.147287	Pittosporum
KB14	Terrestrial	21.50323296	-158.14778	Pittosporum
KB9	Terrestrial	21.507036	-158.143871	Pittosporum
Mi1	Marine	20.81063	-156.7168	Microdicyton umbilicatum
Mi10	Marine	20.81063	-156.7168	Microdicyton umbilicatum
Mi11	Marine	20.81063	-156.7168	Microdicyton umbilicatum
Mi3	Marine	20.81063	-156.7168	Microdicyton umbilicatum
Mi4	Marine	20.81063	-156.7168	Microdicyton umbilicatum
Mi9	Marine	20.81063	-156.7168	Microdicyton umbilicatum
R1	Marine	20.81063	-156.7168	Halymenia
R2	Marine	20.81063	-156.7168	Halymenia
TP1	Terrestrial	21.51975897	-158.173171	Metrosideros
TP3	Terrestrial	21.51969904	-158.173211	Peretedia
TP4	Terrestrial	21.51979904	-158.173248	Acacia
TP5	Terrestrial	21.51983298	-158.173207	Antidesma
TP6	Terrestrial	21.51984497	-158.17315	Coprasma
TP7	Terrestrial	21.51986701	-158.173143	Wikstromia
