Biome	State	Diversity
Temperate	Rhode Island	0.79
Temperate	Rhode Island	0.94
Temperate	Rhode Island	0.88
Temperate	Rhode Island	0.87
Tropical	Hawaii	0.8
Tropical	Hawaii	0.7
Tropical	Hawaii	0.9
Tropical	Hawaii	0.88
Tundra	Alaska	0.2
Tundra	Alaska	0.1
Tundra	Alaska	0.11
Tundra	Alaska	0.15
Grassland	Kansas	0.42
Grassland	Kansas	0.43
Grassland	Kansas	0.38
Grassland	Kansas	0.32
Desert	California	0.15
Desert	California	0.2
Desert	California	0.18
Desert	California	0.11
Temperate	Connecticut	0.78
Temperate	Connecticut	0.79
Temperate	Connecticut	0.81
Temperate	Connecticut	0.85
Grassland	Nebraska	0.37
Grassland	Nebraska	0.32
Grassland	Nebraska	0.35
Grassland	Nebraska	0.37
Temperate	Maryland	0.76
Temperate	Maryland	0.75
Temperate	Maryland	0.75
Temperate	Maryland	0.73
Tropical	Puerto Rico	0.84
Tropical	Puerto Rico	0.76
Tropical	Puerto Rico	0.81
Tropical	Puerto Rico	0.89
Desert	Utah	0.22
Desert	Utah	0.14
Desert	Utah	0.15
Desert	Utah	0.19
Tundra	Montana	0.27
Tundra	Montana	0.19
Tundra	Montana	0.24
Tundra	Montana	0.22
