"SampleID","Project","HostTaxon"
"3P.1","Snail","ThreePoints"
"3P.10","Snail","ThreePoints"
"3P.2","Snail","ThreePoints"
"3P.3","Snail","ThreePoints"
"3P.4","Snail","ThreePoints"
"3P.5","Snail","ThreePoints"
"3P.6","Snail","ThreePoints"
"3P.7","Snail","ThreePoints"
"3P.8","Snail","ThreePoints"
"3P.9","Snail","ThreePoints"
"69CV.1","Snail","Culvert69"
"69CV.10","Snail","Culvert69"
"69CV.11","Snail","Culvert69"
"69CV.12","Snail","Culvert69"
"69CV.13","Snail","Culvert69"
"69CV.2","Snail","Culvert69"
"69CV.3","Snail","Culvert69"
"69CV.4","Snail","Culvert69"
"69CV.5","Snail","Culvert69"
"69CV.6","Snail","Culvert69"
"69CV.7","Snail","Culvert69"
"69CV.8","Snail","Culvert69"
"69CV.9","Snail","Culvert69"
"B12","Meso_Algae","Distromium sp. "
"B13","Meso_Algae","Distromium sp. "
"B15","Meso_Algae","Distromium sp. "
"B16","Meso_Algae","Distromium sp. "
"B17","Meso_Algae","Distromium sp. "
"B2","Meso_Algae","Distromium sp. "
"B22","Meso_Algae","Distromium sp. "
"B3","Meso_Algae","Distromium sp. "
"B6","Meso_Algae","Distromium sp. "
"DS.1","Snail","Palikea"
"DS.10","Snail","Palikea"
"DS.2","Snail","Palikea"
"DS.3","Snail","Palikea"
"DS.4","Snail","Palikea"
"DS.5","Snail","Palikea"
"DS.6","Snail","Palikea"
"DS.7","Snail","Palikea"
"DS.8","Snail","Palikea"
"DS.9","Snail","Palikea"
"EKH.15","Snail","Ekahanui"
"EKH.16","Snail","Ekahanui"
"EKH.20","Snail","Ekahanui"
"EKH.21","Snail","Ekahanui"
"EKH.22","Snail","Ekahanui"
"EKH.23","Snail","Ekahanui"
"EKH.24","Snail","Ekahanui"
"EKH.25","Snail","Ekahanui"
"EKH.26","Snail","Ekahanui"
"EKH.27","Snail","Ekahanui"
"EKH.28","Snail","Ekahanui"
"EKH.6","Snail","Ekahanui"
"H1","Meso_Algae","Halimeda distorta"
"H14","Meso_Algae","Halimeda distorta"
"H17","Meso_Algae","Halimeda distorta"
"H4","Meso_Algae","Halimeda distorta"
"H5","Meso_Algae","Halimeda distorta"
"H9","Meso_Algae","Halimeda distorta"
"KB.1","Snail","KaalaBog"
"KB.10","Snail","KaalaBog"
"KB.11","Snail","KaalaBog"
"KB.12","Snail","KaalaBog"
"KB.13","Snail","KaalaBog"
"KB.14","Snail","KaalaBog"
"KB.2","Snail","KaalaBog"
"KB.3","Snail","KaalaBog"
"KB.4","Snail","KaalaBog"
"KB.5","Snail","KaalaBog"
"KB.6","Snail","KaalaBog"
"KB.7","Snail","KaalaBog"
"KB.8","Snail","KaalaBog"
"KB.9","Snail","KaalaBog"
"KK.1","Snail","Kaaikukai"
"KK.10","Snail","Kaaikukai"
"KK.11","Snail","Kaaikukai"
"KK.12","Snail","Kaaikukai"
"KK.13","Snail","Kaaikukai"
"KK.14","Snail","Kaaikukai"
"KK.2","Snail","Kaaikukai"
"KK.3","Snail","Kaaikukai"
"KK.4","Snail","Kaaikukai"
"KK.5","Snail","Kaaikukai"
"KK.6","Snail","Kaaikukai"
"KK.7","Snail","Kaaikukai"
"KK.8","Snail","Kaaikukai"
"KK.9","Snail","Kaaikukai"
"Mi1","Meso_Algae","Microdicyton umbilicatum"
"Mi10","Meso_Algae","Microdicyton umbilicatum"
"Mi11","Meso_Algae","Microdicyton umbilicatum"
"Mi3","Meso_Algae","Microdicyton umbilicatum"
"Mi4","Meso_Algae","Microdicyton umbilicatum"
"Mi9","Meso_Algae","Microdicyton umbilicatum"
"R1","Meso_Algae","Halymenia? - red blade "
"R2","Meso_Algae","Halymenia? - red blade "
"SP.1","Snail","SkeetPass"
"SP.10","Snail","SkeetPass"
"SP.11","Snail","SkeetPass"
"SP.12","Snail","SkeetPass"
"SP.13","Snail","SkeetPass"
"SP.14","Snail","SkeetPass"
"SP.15","Snail","SkeetPass"
"SP.16","Snail","SkeetPass"
"SP.19","Snail","SkeetPass"
"SP.2","Snail","SkeetPass"
"SP.20","Snail","SkeetPass"
"SP.21","Snail","SkeetPass"
"SP.3","Snail","SkeetPass"
"SP.4","Snail","SkeetPass"
"SP.5","Snail","SkeetPass"
"SP.6","Snail","SkeetPass"
"SP.7","Snail","SkeetPass"
"SP.8","Snail","SkeetPass"
"SP.9","Snail","SkeetPass"
